AppNo,PDF,Fyr,State,FormV,Nickname,Status,ServiceCat,OrgName,Address1,Address2,City,ZipCode,ZCExt,Phone,PhoneExt,Email,Number,FCCRegNo,AppType,CFName,CMInitial,CLName,CEmail,CPhone,CPhoneExt,CDateTime,Enrollment,NSLPCount,NSLPPer,URStatus,COneRate,CTwoRate,VoiceRate,FundReqAmt,LastUpdate,Latitude,Longitude,CongDist,CatColor
181012633,http://publicdata.usac.org/SL/Prd/Form471/389297/181012633/Original/USAC_FCC_FORM_471_APPLICATION_181012633_CERTIFIED.pdf,2018,PA,Original,UPCSK5-2018-C1-VOICE-VERIZON-LD,Certified,Category1,Urban Pathways K-5 Charter School,925 Penn Ave,,Pittsburgh,15222,,412-392-4601,,,16057973,17085556,School,Dave,,Miller,davemiller@advanedgesolutions.com,412-668-0785,,2/22/2018 15:48,304,304,1,Urban,0.9,0.85,0.1,$5.95 ,2/22/2018 15:49,40.4440425,-79.9972143,Congressional District 14,1
181012601,http://publicdata.usac.org/SL/Prd/Form471/378873/181012601/Original/USAC_FCC_FORM_471_APPLICATION_181012601_CERTIFIED.pdf,2018,PA,Original,URBAN PATHWAYS-2018-C1-VERIZON-LD,Certified,Category1,Urban Pathways Charter School,914 Penn Avenue,,Pittsburgh,15222,,412-392-4601,,,16038513,17085556,School,Dave,,Miller,davemiller@advanedgesolutions.com,412-668-0785,,2/22/2018 15:16,341,341,1,Urban,0.9,0.85,0.1,$5.95 ,2/22/2018 15:16,40.443721,-79.9974735,Congressional District 14,1
181024290,http://publicdata.usac.org/SL/Prd/Form471/334976/181024290/Original/USAC_FCC_FORM_471_APPLICATION_181024290_CERTIFIED.pdf,2018,FL,Original,VerizonWirelssCellPhone471LakeWalesYear21,Certified,Category1,Lake Wales Public Library,290 Cypress Garden Ln,,Lake Wales,33853,3744,863-519-7958,,gladys.roberts@mypclc.info,127822,9364068,Library,Gladys,,Roberts,lakwaleliberate@gmail.com,863-519-7958,,3/21/2018 15:39,"93,451","82,892",0.89,Urban,0.9,0.85,0.1,$6.00 ,3/21/2018 15:40,27.9038031,-81.5863634,Congressional District 9,1
181008146,http://publicdata.usac.org/SL/Prd/Form471/17000517/181008146/Original/USAC_FCC_FORM_471_APPLICATION_181008146_CERTIFIED.pdf,2018,OK,Original,Delta CAT 1,Certified,Category1,Delta Head Start School District Oklahoma,308 Sw 2nd St,,Lindsay,73052,5404,405-756-1100,,shorton3@windstream.net,17000517,16399586,School District,Shannon,,England,senglandhs@gmail.com,405-756-1100,,2/9/2018 11:17,269,269,1,Rural,0.9,0.85,0.1,$11.02 ,2/9/2018 11:18,34.8338077,-97.6046275,Congressional District 4,1
181013103,http://publicdata.usac.org/SL/Prd/Form471/17010288/181013103/Original/USAC_FCC_FORM_471_APPLICATION_181013103_CERTIFIED.pdf,2018,WA,Original,GREEN HILL VERIZON FORM 471 FY18,Certified,Category1,Juvenile Rehabilitation Administration,1115 Washington St Se,,Olympia,98504,5720,360-902-8104,,smithjb@dshs.wa.gov,17010288,16823296,School District,Jan,,Smith,smithjb@dshs.wa.gov,360-902-8104,,2/23/2018 18:03,111,111,1,Urban,0.9,0.85,0.1,$11.56 ,2/23/2018 18:04,47.0363839,-122.8974986,Congressional District 10,1
181030806,http://publicdata.usac.org/SL/Prd/Form471/350685/181030806/Original/USAC_FCC_FORM_471_APPLICATION_181030806_CERTIFIED.pdf,2018,CA,Original,PV Y21-C1 Long,Certified,Category1,Pleasant View Elem School Dist,14004 Road 184,,Porterville,93257,9061,559-784-6769,,marko@pleasant-view.k12.ca.us,143890,6880496,School District,Bonnie,,Armendariz,bonnie@pcas4e.com,661-586-1090,,3/19/2018 20:12,486,486,1,Rural,0.9,0.85,0.1,$12.98 ,3/19/2018 20:12,36.0435981,-119.1600336,Congressional District 23,1
181035026,http://publicdata.usac.org/SL/Prd/Form471/338124/181035026/Original/USAC_FCC_FORM_471_APPLICATION_181035026_CERTIFIED.pdf,2018,MI,Original,Westwood Heights 2018-19 Category 1 471,Certified,Category1,Westwood Heights School Dist,3400 North Jennings Road,,Flint,48504,1757,810-591-0870,,,131076,11800083,School District,Peter,,Toal,ptoal@hamadyhawks.net,810-591-0870,,3/21/2018 12:42,"1,480","1,467",0.99,Urban,0.9,0.85,0.1,$13.60 ,3/21/2018 12:43,43.0575839,-83.7512988,Congressional District 5,1
181027762,http://publicdata.usac.org/SL/Prd/Form471/317250/181027762/Original/USAC_FCC_FORM_471_APPLICATION_181027762_CERTIFIED.pdf,2018,CA,Original,KR Y21-C1 Long,Certified,Category1,Kings River Elementary School,3961 Avenue 400,,Kingsburg,93631,9660,559-897-7779,,smartin@krusd.org,107378,6653232,School,Bonnie,,Armendariz,bonnie@pcas4e.com,661-586-1090,,3/16/2018 21:06,462,439,0.95,Rural,0.9,0.85,0.1,$15.54 ,3/16/2018 21:07,36.5172681,-119.4861991,Congressional District 22,1
181025560,http://publicdata.usac.org/SL/Prd/Form471/353156/181025560/Original/USAC_FCC_FORM_471_APPLICATION_181025560_CERTIFIED.pdf,2018,FL,Original,Windstream471MulberryYear21,Certified,Category1,Mulberry Public Library,905 Ne 5th St,,Mulberry,33860,2518,863-519-7958,,gladys.roberts@mypclc.info,154052,26208090,Library,Gladys,,Roberts,mulliberate@gmail.com,863-519-7958,,3/21/2018 16:50,"93,451","82,892",0.89,Urban,0.9,0.85,0.1,$17.40 ,3/21/2018 16:50,27.8985134,-81.9664625,Congressional District 17,1
181030895,http://publicdata.usac.org/SL/Prd/Form471/316485/181030895/Original/USAC_FCC_FORM_471_APPLICATION_181030895_CERTIFIED.pdf,2018,CA,Original,WE Y21-C1 Long,Certified,Category1,Woodville Elementary School,16541 Road 168,,Porterville,93257,9205,209-686-9713,,jnavarro@woodville.k12.ca.us,106607,13901913,School,Bonnie,,Armendariz,bonnie@pcas4e.com,661-586-1090,,3/19/2018 21:43,481,481,1,Rural,0.9,0.85,0.1,$18.00 ,3/19/2018 21:43,36.0911396,-119.1967258,Congressional District 21,1
